id,overture_height_m,analysis_height_m,height_source,height_confidence,height_uncertainty_m,num_floors,roof_shape,roof_height,has_parts,footprint_area_m2,building_uid,nearest_canopy_distance_m,mean_roof_canopy_distance_m,canopy_overlap_pct,building_raster_pixels,distance_sampling_method,roof_area_m2,facade_area_m2,envelope_area_m2,roof_shaded_0900_m2,roof_exposed_0900_m2,facade_sunfacing_0900_m2,facade_shaded_0900_m2,facade_direct_0900_m2,tree_shaded_0900_m2,direct_sun_0900_m2,exposure_fraction_0900,solar_index_0900,tree_shade_fraction_0900,roof_shaded_1200_m2,roof_exposed_1200_m2,facade_sunfacing_1200_m2,facade_shaded_1200_m2,facade_direct_1200_m2,tree_shaded_1200_m2,direct_sun_1200_m2,exposure_fraction_1200,solar_index_1200,tree_shade_fraction_1200,roof_shaded_1500_m2,roof_exposed_1500_m2,facade_sunfacing_1500_m2,facade_shaded_1500_m2,facade_direct_1500_m2,tree_shaded_1500_m2,direct_sun_1500_m2,exposure_fraction_1500,solar_index_1500,tree_shade_fraction_1500,roof_shaded_1800_m2,roof_exposed_1800_m2,facade_sunfacing_1800_m2,facade_shaded_1800_m2,facade_direct_1800_m2,tree_shaded_1800_m2,direct_sun_1800_m2,exposure_fraction_1800,solar_index_1800,tree_shade_fraction_1800,mean_exposure_fraction,mean_solar_exposure_index,mean_tree_shade_fraction,roof_raster_available
f46f1656-8975-4c21-9c96-f4f66727f8b0,7.1035,7.1035,overture_height,provided,,,gabled,,False,148.3885,3490,0.0,2.58,8.72,149,pixel_centre,148.3885,385.0681,533.4566,0.0,148.3885,192.5845,55.088,137.4964,55.088,285.885,0.5359,0.2893,0.1616,0.0,148.3885,192.4845,24.8209,167.6636,24.8209,316.0521,0.5925,0.3115,0.0728,0.0,148.3885,192.4845,26.7306,165.7539,26.7306,314.1424,0.5889,0.3404,0.0784,96.6019,51.7866,192.4836,192.4836,0.0,289.0856,51.7866,0.0971,0.0317,0.8481,0.4536,0.2432,0.2902,True
f113d603-ad6d-4d60-a464-ee22a660f04a,2.4485,2.4485,overture_height,provided,,,gabled,,False,10.3798,3491,2.0,3.24,0.0,10,pixel_centre,10.3798,31.9938,42.3736,10.3798,0.0,15.9842,15.9842,0.0,26.3639,0.0,0.0,0.0,1.0,0.0,10.3798,15.9842,0.0,15.9842,0.0,26.3639,0.6222,0.3275,0.0,0.0,10.3798,15.989,0.0,15.989,0.0,26.3687,0.6223,0.3598,0.0,0.0,10.3798,16.0096,0.0,16.0096,0.0,26.3894,0.6228,0.3073,0.0,0.4668,0.2486,0.25,True
f40d6f58-ed5d-4529-9552-3d6d14b71879,6.4051,6.4051,overture_height,provided,,,gabled,,False,155.6723,3492,0.0,2.31,7.1,155,pixel_centre,155.6723,354.7547,510.4271,7.0304,148.642,177.4364,118.9681,58.4682,125.9985,207.1102,0.4058,0.2064,0.3783,0.0,155.6723,177.4364,72.1631,105.2732,72.1631,260.9456,0.5112,0.3331,0.2166,0.0,155.6723,177.3531,46.5502,130.8028,46.5502,286.4752,0.5612,0.3489,0.1398,53.2299,102.4424,177.3184,136.0385,41.2798,189.2684,143.7223,0.2816,0.0961,0.5684,0.44,0.2461,0.3258,True
d5c21d34-caac-4025-8419-81890d93a3cb,6.3875,6.3875,overture_height,provided,,,gabled,,False,165.8965,3493,0.0,1.7,24.7,166,pixel_centre,165.8965,374.0092,539.9057,141.9114,23.985,187.0683,187.0683,0.0,328.9797,23.985,0.0444,0.0204,0.932,34.9782,130.9183,187.0683,171.1626,15.9057,206.1407,146.824,0.2719,0.2128,0.584,60.962,104.9345,187.0058,156.5143,30.4915,217.4763,135.426,0.2508,0.1731,0.6163,84.947,80.9495,187.0058,136.449,50.5568,221.396,131.5063,0.2436,0.1352,0.6274,0.2027,0.1354,0.6899,True
bd4ed5e6-e745-428e-bbb1-93c7f26cfdb6,,3.2912,model_estimate,medium,0.6968,,,,False,16.6028,3494,0.0,0.0,100.0,20,pixel_centre,16.6028,53.7973,70.4001,16.6028,0.0,26.8987,26.8987,0.0,43.5015,0.0,0.0,0.0,1.0,16.6028,0.0,26.8987,26.8987,0.0,43.5015,0.0,0.0,0.0,1.0,16.6028,0.0,26.8987,26.8987,0.0,43.5015,0.0,0.0,0.0,1.0,16.6028,0.0,26.8987,26.8987,0.0,43.5015,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
45d512b5-8742-4ee3-9757-30c4d598893f,6.218,6.218,overture_height,provided,,,gabled,,False,146.9579,3495,0.0,2.92,2.05,146,pixel_centre,146.9579,330.9656,477.9235,3.0197,143.9383,165.4828,130.163,35.3199,133.1827,179.2581,0.3751,0.166,0.4263,0.0,146.9579,165.4828,50.8855,114.5974,50.8855,261.5553,0.5473,0.3495,0.1629,0.0,146.9579,165.4828,50.4213,115.0615,50.4213,262.0195,0.5482,0.3462,0.1614,0.0,146.9579,165.4828,84.0619,81.421,84.0619,228.3789,0.4779,0.19,0.269,0.4871,0.263,0.2549,True
6ab65f97-4f70-48c5-b63f-ec4baa661e3f,6.4061,6.4061,overture_height,provided,,,gabled,,False,131.2268,3496,0.0,2.55,6.11,131,pixel_centre,131.2268,303.3554,434.5822,0.0,131.2268,150.8795,78.0972,72.7823,78.0972,204.0091,0.4694,0.2078,0.2768,0.0,131.2268,150.8795,54.0551,96.8243,54.0551,228.0511,0.5248,0.3396,0.1916,0.0,131.2268,150.8968,13.3749,137.5219,13.3749,268.7487,0.6184,0.3693,0.0474,0.0,131.2268,150.8968,69.1354,81.7614,69.1354,212.9882,0.4901,0.2328,0.2451,0.5257,0.2874,0.1902,True
75797109-5544-4d54-abbd-309cd81d9bc1,3.7006,3.7006,overture_height,provided,,,gabled,,False,43.5072,3497,0.0,1.2,29.55,44,pixel_centre,43.5072,98.3571,141.8642,6.9216,36.5856,49.2017,8.5727,40.629,15.4943,77.2146,0.5443,0.2536,0.1671,5.9328,37.5744,49.2017,3.5668,45.6349,9.4996,83.2093,0.5865,0.3451,0.1025,5.9328,37.5744,49.161,15.6533,33.5077,21.5861,71.0821,0.5011,0.3132,0.2329,26.6976,16.8096,49.161,36.7652,12.3958,63.4628,29.2054,0.2059,0.0599,0.6848,0.4594,0.2429,0.2968,True
ed2dd078-34d5-4832-a295-07f8dde391c6,3.15,3.15,overture_height,provided,,,gabled,,False,9.9821,3498,0.0,0.0,100.0,9,pixel_centre,9.9821,40.8198,50.8018,9.9821,0.0,20.4099,20.4099,0.0,30.392,0.0,0.0,0.0,1.0,9.9821,0.0,20.4099,20.4099,0.0,30.392,0.0,0.0,0.0,1.0,9.9821,0.0,20.4099,20.4099,0.0,30.392,0.0,0.0,0.0,1.0,9.9821,0.0,20.4099,20.4099,0.0,30.392,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
417f3e1b-ce87-4726-be1f-8d5644d05c5b,2.7728,2.7728,overture_height,provided,,,gabled,,False,4.3092,3499,0.0,0.0,100.0,4,pixel_centre,4.3092,23.2573,27.5665,4.3092,0.0,11.6287,11.6287,0.0,15.9378,0.0,0.0,0.0,1.0,4.3092,0.0,11.6287,11.6287,0.0,15.9378,0.0,0.0,0.0,1.0,4.3092,0.0,11.6287,11.6287,0.0,15.9378,0.0,0.0,0.0,1.0,4.3092,0.0,11.6287,11.6287,0.0,15.9378,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
